Habitat,Sex,Standard length,Eye diameter,Head length,Head width,Predorsal length,Gape width
Surface,Female,54,4.6,13.4,10.2,17.6,5.2
Surface,Male,39,3.6,9.5,6.8,13.4,4.0
Surface,Male,25,3.0,7.0,4.5,7.8,2.1
Surface,Female,27,3.0,8.0,5.4,9.0,3.2
Surface,Female,25,2.6,7.4,5.4,8.6,3.1
Surface,Female,21,2.2,6.2,4.3,6.6,2.3
Surface,Female,44,3.9,11.4,8.6,14.1,5.1
Surface,Female,41,3.6,10.4,4.3,13.5,7.7
Surface,Female,44,4.0,11.5,8.9,14.6,4.4
Surface,Female,48,4.2,11.4,9.5,15.5,4.8
Surface,Female,55,4.6,14.2,11.3,18.2,5.7
Surface,Female,55,4.3,11.7,10.6,18.1,5.5
Surface,Female,58,4.6,14.2,11.3,19.6,6.5
Surface,Female,48,4.3,12.2,9.4,16.0,5.8
Surface,Female,44,4.4,11.1,8.9,14.3,4.7
Surface,Female,44,3.9,12.2,9.2,15.0,5.2
Surface,Female,42,4.3,11.0,8.5,14.0,4.1
Surface,Female,45,4.2,11.3,8.7,14.4,4.5
Surface,Female,26,2.5,7.3,5.3,8.4,3.0
Surface,Female,27,2.8,7.3,5.5,8.8,3.0
Surface,Female,27,2.9,7.5,5.8,9.3,3.1
Surface,Male,37,3.3,9.3,6.1,12.0,3.5
Surface,Male,33,3.2,8.3,5.8,11.0,3.4
Surface,Male,32,2.9,8.5,5.6,10.4,3.0
Surface,Male,27,2.6,7.3,4.9,8.7,2.3
Surface,Male,25,2.4,6.8,4.3,7.8,2.1
Surface,Male,26,2.2,6.9,4.2,8.3,2.0
Surface,Male,41,3.6,10.1,7.0,13.6,4.0
Surface,Male,29,2.6,7.6,5.1,9.5,2.9
Surface,Male,22,2.3,5.7,4.0,7.3,2.0
Surface,Male,35,3.0,10.0,6.0,11.9,3.1
Surface,Male,40,3.5,9.3,6.7,13.2,3.7
Surface,Male,31,2.9,8.7,5.3,9.9,2.9
Surface,Male,25,2.3,6.1,4.6,8.8,2.5
Surface,Male,22,2.2,5.7,3.9,6.9,1.8
Surface,Male,28,2.7,7.5,4.8,9.1,2.7
Surface,Male,22,2.2,5.9,3.8,7.7,2.1
Surface,Male,26,2.2,6.4,4.4,8.9,2.4
Surface,Male,23,2.4,6.3,3.7,7.4,1.9
Surface,Male,25,2.3,6.8,4.3,8.4,2.0
Surface,Male,23,2.5,6.3,4.1,7.9,2.3
Surface,Male,26,2.3,6.3,4.9,8.3,2.9
Surface,Male,23,2.2,6.5,4.2,8.0,2.3
Surface,Male,24,2.4,6.0,3.8,8.4,2.1
Surface,Female,37,3.2,9.6,6.7,11.7,4.0
Surface,Female,36,3.3,8.9,7.1,11.5,3.6
Surface,Female,29,2.9,7.6,5.8,9.7,3.1
Surface,Female,41,3.4,10.7,7.5,13.4,3.6
Surface,Female,22,2.6,6.5,4.8,7.3,2.3
Surface,Female,34,3.1,8.5,6.9,11.7,3.7
